the chair is not green ; it is yellow ; the chair is yellow .
oscar did not choose coffee ; oscar chose juice instead ; oscar chose juice .
mia did not pack bread ; mia packed rice instead ; mia packed rice .
theo did not pack butter ; theo packed cheese instead ; theo packed cheese .
zoe did not pack apples ; zoe packed grapes instead ; zoe packed grapes .
kai did not pack sugar ; kai packed salt instead ; kai packed salt .
priya did not pack bread ; priya packed rice instead ; priya packed rice .
diego did not pack butter ; diego packed cheese instead ; diego packed cheese .
hana did not pack apples ; hana packed grapes instead ; hana packed grapes .
oscar did not pack sugar ; oscar packed salt instead ; oscar packed salt .
theo did not buy juice ; he bought milk instead ; theo bought milk .
zoe did not buy soda ; she bought milk instead ; zoe bought milk .
kai did not buy coffee ; he bought tea instead ; kai bought tea .
priya did not buy cocoa ; she bought tea instead ; priya bought tea .
hana did not buy juice ; she bought tea instead ; hana bought tea .
oscar did not buy soda ; he bought milk instead ; oscar bought milk .
